week_start,employee_id,employee_name,team,supervisor,calls_handled,sales_count,sales_revenue_rub,ai_errors_detected,supervisor_rejected_errors,recommendations_sent,recommendations_completed,training_minutes,qa_score,adherence_score,sales_per_call,rejection_rate,recommendation_uptake
2025-02-03,CC028,Артем Белов #28,Ипотека,Денис С.,223,31,533457.35,23,9,14,7,45,73.8,0.625,2392.1854260089685,0.391304347826087,0.5
2025-02-03,CC029,Кристина Орлова #29,Удержание,Роман М.,243,36,708002.79,25,12,13,8,41,75.5,0.702,2913.591728395062,0.48,0.6153846153846154
2025-02-03,CC030,Денис Макаров #30,Продажи карт,Елена П.,226,30,446654.63,23,9,14,7,37,75.8,0.61,1976.3479203539823,0.391304347826087,0.5
2025-02-03,CC031,Ирина Волкова #31,МСП,Анастасия К.,232,33,542290.19,20,9,11,5,31,75.2,0.654,2337.457715517241,0.45,0.45454545454545453
2025-02-03,CC032,Максим Соколов #32,Ипотека,Денис С.,236,33,521792.54,17,8,9,4,38,79.7,0.7,2210.985338983051,0.47058823529411764,0.4444444444444444
2025-02-03,CC033,Алина Петрова #33,Удержание,Роман М.,241,33,634743.23,25,11,14,7,30,74.8,0.679,2633.789336099585,0.44,0.5
2025-02-03,CC034,Владислав Морозов #34,Продажи карт,Елена П.,231,32,655500.47,30,13,17,8,30,73.7,0.675,2837.6643722943722,0.43333333333333335,0.47058823529411764
2025-02-03,CC035,София Кузнецова #35,МСП,Анастасия К.,236,33,628499.33,23,11,12,5,38,72.3,0.618,2663.132754237288,0.4782608695652174,0.4166666666666667
2025-02-03,CC036,Юлия Иванова #36,Ипотека,Денис С.,264,35,715272.84,25,9,16,7,31,71.9,0.621,2709.366818181818,0.36,0.4375
2025-02-03,CC037,Никита Федоров #37,Удержание,Роман М.,256,37,675736.94,28,12,16,8,43,74.9,0.684,2639.597421875,0.42857142857142855,0.5
2025-02-03,CC038,Артем Белов #38,Продажи карт,Елена П.,238,33,440522.97,22,10,12,6,35,76.0,0.662,1850.9368487394956,0.45454545454545453,0.5
2025-02-03,CC039,Кристина Орлова #39,МСП,Анастасия К.,205,26,506551.11,25,12,13,7,33,79.2,0.677,2470.981024390244,0.48,0.5384615384615384
2025-02-03,CC040,Денис Макаров #40,Ипотека,Денис С.,219,31,600418.97,26,10,16,8,26,79.3,0.668,2741.6391324200913,0.38461538461538464,0.5
2025-02-03,CC041,Ирина Волкова #41,Удержание,Роман М.,227,34,715476.21,24,9,15,8,28,76.2,0.658,3151.877577092511,0.375,0.5333333333333333
2025-02-03,CC042,Максим Соколов #42,Продажи карт,Елена П.,214,29,404745.94,25,10,15,9,37,75.4,0.691,1891.3361682242992,0.4,0.6
2025-02-03,CC043,Алина Петрова #43,МСП,Анастасия К.,215,26,484466.19,20,7,13,7,36,71.4,0.628,2253.3311162790696,0.35,0.5384615384615384
2025-02-03,CC044,Владислав Морозов #44,Ипотека,Денис С.,247,35,637688.34,28,12,16,8,23,72.1,0.597,2581.734170040486,0.42857142857142855,0.5
2025-02-03,CC045,София Кузнецова #45,Удержание,Роман М.,259,34,487384.67,26,11,15,8,47,72.3,0.592,1881.7940926640927,0.4230769230769231,0.5333333333333333
2025-02-03,CC046,Юлия Иванова #46,Продажи карт,Елена П.,267,37,643846.62,25,10,15,7,36,75.6,0.64,2411.410561797753,0.4,0.4666666666666667
2025-02-03,CC047,Никита Федоров #47,МСП,Анастасия К.,202,30,330124.03,26,12,14,7,34,78.8,0.624,1634.277376237624,0.46153846153846156,0.5
2025-02-03,CC048,Артем Белов #48,Ипотека,Денис С.,205,26,305018.78,20,8,12,6,34,71.2,0.641,1487.8964878048782,0.4,0.5
2025-02-10,CC001,Ирина Волкова #1,Удержание,Роман М.,236,31,424729.87,26,12,14,8,34,81.4,0.658,1799.702838983051,0.46153846153846156,0.5714285714285714
2025-02-10,CC002,Максим Соколов #2,Продажи карт,Елена П.,234,31,463273.53,27,10,17,8,37,76.1,0.679,1979.8014102564105,0.37037037037037035,0.47058823529411764
2025-02-10,CC003,Алина Петрова #3,МСП,Анастасия К.,187,27,465792.95,29,12,17,9,39,76.4,0.696,2490.8713903743314,0.41379310344827586,0.5294117647058824
2025-02-10,CC004,Владислав Морозов #4,Ипотека,Денис С.,288,41,835539.39,18,7,11,7,40,79.7,0.651,2901.1784375,0.3888888888888889,0.6363636363636364
2025-02-10,CC005,София Кузнецова #5,Удержание,Роман М.,237,31,665183.03,19,8,11,6,46,73.1,0.655,2806.6794514767935,0.42105263157894735,0.5454545454545454
2025-02-10,CC006,Юлия Иванова #6,Продажи карт,Елена П.,212,28,436302.16,22,10,12,7,41,78.5,0.673,2058.0290566037734,0.45454545454545453,0.5833333333333334
2025-02-10,CC007,Никита Федоров #7,МСП,Анастасия К.,234,34,664805.2,24,10,14,7,31,80.2,0.673,2841.047863247863,0.4166666666666667,0.5
2025-02-10,CC008,Артем Белов #8,Ипотека,Денис С.,224,34,766687.34,21,8,13,7,37,78.9,0.683,3422.711339285714,0.38095238095238093,0.5384615384615384
2025-02-10,CC009,Кристина Орлова #9,Удержание,Роман М.,241,34,459571.32,22,8,14,7,38,75.9,0.675,1906.9349377593362,0.36363636363636365,0.5
2025-02-10,CC010,Денис Макаров #10,Продажи карт,Елена П.,222,31,502505.32,24,10,14,6,43,74.5,0.684,2263.5374774774773,0.4166666666666667,0.42857142857142855
2025-02-10,CC011,Ирина Волкова #11,МСП,Анастасия К.,232,33,601512.74,26,11,15,8,33,73.8,0.641,2592.7273275862067,0.4230769230769231,0.5333333333333333
2025-02-10,CC012,Максим Соколов #12,Ипотека,Денис С.,263,35,767008.34,23,8,15,9,41,74.9,0.623,2916.3815209125473,0.34782608695652173,0.6
2025-02-10,CC013,Алина Петрова #13,Удержание,Роман М.,202,31,610143.34,27,9,18,10,38,74.3,0.667,3020.5115841584156,0.3333333333333333,0.5555555555555556
2025-02-10,CC014,Владислав Морозов #14,Продажи карт,Елена П.,236,34,632337.39,24,9,15,8,32,68.0,0.609,2679.395720338983,0.375,0.5333333333333333
2025-02-10,CC015,София Кузнецова #15,МСП,Анастасия К.,204,24,407338.34,28,11,17,9,32,76.7,0.635,1996.756568627451,0.39285714285714285,0.5294117647058824
2025-02-10,CC016,Юлия Иванова #16,Ипотека,Денис С.,226,29,526249.98,25,10,15,8,35,71.7,0.609,2328.539734513274,0.4,0.5333333333333333
2025-02-10,CC017,Никита Федоров #17,Удержание,Роман М.,219,30,519668.56,22,8,14,7,33,71.3,0.583,2372.915799086758,0.36363636363636365,0.5
2025-02-10,CC018,Артем Белов #18,Продажи карт,Елена П.,254,35,648194.04,19,9,10,5,48,73.7,0.636,2551.945039370079,0.47368421052631576,0.5
2025-02-10,CC019,Кристина Орлова #19,МСП,Анастасия К.,232,32,449441.78,25,11,14,8,35,79.3,0.727,1937.249051724138,0.44,0.5714285714285714
2025-02-10,CC020,Денис Макаров #20,Ипотека,Денис С.,179,29,443774.67,25,9,16,9,31,74.2,0.679,2479.1881005586592,0.36,0.5625
2025-02-10,CC021,Ирина Волкова #21,Удержание,Роман М.,219,29,514521.76,24,9,15,9,35,76.7,0.677,2349.4144292237443,0.375,0.6
2025-02-10,CC022,Максим Соколов #22,Продажи карт,Елена П.,180,24,392844.23,23,8,15,8,34,73.9,0.638,2182.467944444444,0.34782608695652173,0.5333333333333333
2025-02-10,CC023,Алина Петрова #23,МСП,Анастасия К.,213,31,492359.01,26,11,15,8,31,77.3,0.703,2311.544647887324,0.4230769230769231,0.5333333333333333
2025-02-10,CC024,Владислав Морозов #24,Ипотека,Денис С.,260,34,645823.0,19,9,10,7,37,76.0,0.621,2483.9346153846154,0.47368421052631576,0.7
2025-02-10,CC025,София Кузнецова #25,Удержание,Роман М.,168,27,469979.18,23,11,12,7,28,78.3,0.727,2797.495119047619,0.4782608695652174,0.5833333333333334
2025-02-10,CC026,Юлия Иванова #26,Продажи карт,Елена П.,242,39,890349.78,28,12,16,9,45,71.4,0.672,3679.1313223140496,0.42857142857142855,0.5625
2025-02-10,CC027,Никита Федоров #27,МСП,Анастасия К.,240,33,610373.89,23,9,14,9,33,75.9,0.704,2543.224541666667,0.391304347826087,0.6428571428571429
2025-02-10,CC028,Артем Белов #28,Ипотека,Денис С.,246,32,516764.92,30,14,16,9,32,77.5,0.642,2100.670406504065,0.4666666666666667,0.5625
2025-02-10,CC029,Кристина Орлова #29,Удержание,Роман М.,224,33,656275.08,24,11,13,7,32,75.1,0.617,2929.7994642857143,0.4583333333333333,0.5384615384615384
2025-02-10,CC030,Денис Макаров #30,Продажи карт,Елена П.,226,31,661211.33,20,9,11,5,41,78.4,0.641,2925.713849557522,0.45,0.45454545454545453
2025-02-10,CC031,Ирина Волкова #31,МСП,Анастасия К.,184,26,575016.66,18,9,9,4,30,74.9,0.635,3125.090543478261,0.5,0.4444444444444444
2025-02-10,CC032,Максим Соколов #32,Ипотека,Денис С.,233,33,677623.0,26,10,16,8,33,72.3,0.647,2908.25321888412,0.38461538461538464,0.5
2025-02-10,CC033,Алина Петрова #33,Удержание,Роман М.,245,31,458253.43,14,5,9,5,43,77.3,0.662,1870.4221632653062,0.35714285714285715,0.5555555555555556
2025-02-10,CC034,Владислав Морозов #34,Продажи карт,Елена П.,228,30,570042.94,25,10,15,9,38,70.1,0.656,2500.188333333333,0.4,0.6
2025-02-10,CC035,София Кузнецова #35,МСП,Анастасия К.,223,32,427753.4,27,10,17,8,27,75.7,0.683,1918.17668161435,0.37037037037037035,0.47058823529411764
2025-02-10,CC036,Юлия Иванова #36,Ипотека,Денис С.,213,30,584844.37,31,13,18,9,49,76.0,0.648,2745.7482159624415,0.41935483870967744,0.5
2025-02-10,CC037,Никита Федоров #37,Удержание,Роман М.,221,28,424618.98,34,11,23,13,37,76.7,0.647,1921.352850678733,0.3235294117647059,0.5652173913043478
2025-02-10,CC038,Артем Белов #38,Продажи карт,Елена П.,196,28,509714.74,34,15,19,11,35,78.8,0.683,2600.585408163265,0.4411764705882353,0.5789473684210527
2025-02-10,CC039,Кристина Орлова #39,МСП,Анастасия К.,204,34,617232.11,21,10,11,6,37,82.1,0.716,3025.6475980392156,0.47619047619047616,0.5454545454545454
2025-02-10,CC040,Денис Макаров #40,Ипотека,Денис С.,220,34,645964.23,27,10,17,10,45,72.7,0.621,2936.2010454545452,0.37037037037037035,0.5882352941176471
2025-02-10,CC041,Ирина Волкова #41,Удержание,Роман М.,217,31,460241.62,21,7,14,7,31,77.2,0.686,2120.929124423963,0.3333333333333333,0.5
2025-02-10,CC042,Максим Соколов #42,Продажи карт,Елена П.,230,30,335810.3,26,10,16,9,38,77.6,0.704,1460.0447826086956,0.38461538461538464,0.5625
2025-02-10,CC043,Алина Петрова #43,МСП,Анастасия К.,212,32,489209.54,23,9,14,7,33,76.0,0.672,2307.5921698113207,0.391304347826087,0.5
2025-02-10,CC044,Владислав Морозов #44,Ипотека,Денис С.,220,31,411494.48,23,8,15,9,39,73.3,0.62,1870.4294545454545,0.34782608695652173,0.6
2025-02-10,CC045,София Кузнецова #45,Удержание,Роман М.,249,34,548061.82,24,10,14,7,42,78.5,0.66,2201.051485943775,0.4166666666666667,0.5
2025-02-10,CC046,Юлия Иванова #46,Продажи карт,Елена П.,244,36,663576.15,26,9,17,10,30,74.2,0.667,2719.574385245902,0.34615384615384615,0.5882352941176471
2025-02-10,CC047,Никита Федоров #47,МСП,Анастасия К.,224,27,593327.62,25,8,17,10,33,77.8,0.666,2648.7840178571428,0.32,0.5882352941176471
2025-02-10,CC048,Артем Белов #48,Ипотека,Денис С.,215,34,575655.32,22,9,13,7,36,78.7,0.712,2677.4666046511625,0.4090909090909091,0.5384615384615384
2025-02-17,CC001,Ирина Волкова #1,Удержание,Роман М.,191,27,465736.04,19,8,11,5,48,80.9,0.721,2438.4085863874343,0.42105263157894735,0.45454545454545453
2025-02-17,CC002,Максим Соколов #2,Продажи карт,Елена П.,248,30,475551.01,14,5,9,5,38,77.5,0.658,1917.5443951612904,0.35714285714285715,0.5555555555555556
2025-02-17,CC003,Алина Петрова #3,МСП,Анастасия К.,247,31,654702.02,20,9,11,5,40,77.4,0.665,2650.6154655870446,0.45,0.45454545454545453
2025-02-17,CC004,Владислав Морозов #4,Ипотека,Денис С.,203,24,434491.18,24,9,15,8,49,74.6,0.639,2140.3506403940887,0.375,0.5333333333333333
2025-02-17,CC005,София Кузнецова #5,Удержание,Роман М.,219,35,594000.25,12,4,8,4,35,77.8,0.681,2712.3299086757993,0.3333333333333333,0.5
2025-02-17,CC006,Юлия Иванова #6,Продажи карт,Елена П.,238,30,534801.9,23,9,14,8,43,78.9,0.666,2247.0668067226893,0.391304347826087,0.5714285714285714
2025-02-17,CC007,Никита Федоров #7,МСП,Анастасия К.,228,38,764021.59,14,5,9,5,39,75.8,0.69,3350.971885964912,0.35714285714285715,0.5555555555555556
2025-02-17,CC008,Артем Белов #8,Ипотека,Денис С.,296,45,911646.93,21,7,14,8,29,74.4,0.687,3079.888277027027,0.3333333333333333,0.5714285714285714
2025-02-17,CC009,Кристина Орлова #9,Удержание,Роман М.,214,31,508756.62,16,5,11,6,34,77.6,0.685,2377.36738317757,0.3125,0.5454545454545454
2025-02-17,CC010,Денис Макаров #10,Продажи карт,Елена П.,220,30,472350.99,21,8,13,7,43,75.9,0.659,2147.0499545454545,0.38095238095238093,0.5384615384615384
2025-02-17,CC011,Ирина Волкова #11,МСП,Анастасия К.,212,35,405836.54,21,7,14,8,34,80.6,0.718,1914.3233018867923,0.3333333333333333,0.5714285714285714
2025-02-17,CC012,Максим Соколов #12,Ипотека,Денис С.,245,37,759714.55,15,6,9,5,29,77.5,0.676,3100.8757142857144,0.4,0.5555555555555556
2025-02-17,CC013,Алина Петрова #13,Удержание,Роман М.,198,28,461163.51,24,8,16,10,33,79.0,0.689,2329.1086363636364,0.3333333333333333,0.625
2025-02-17,CC014,Владислав Морозов #14,Продажи карт,Елена П.,270,42,766605.78,23,7,16,8,36,79.7,0.692,2839.2806666666665,0.30434782608695654,0.5
2025-02-17,CC015,София Кузнецова #15,МСП,Анастасия К.,225,32,550596.55,23,9,14,7,43,78.5,0.666,2447.095777777778,0.391304347826087,0.5
2025-02-17,CC016,Юлия Иванова #16,Ипотека,Денис С.,212,30,469433.1,24,11,13,7,44,75.2,0.678,2214.307075471698,0.4583333333333333,0.5384615384615384
2025-02-17,CC017,Никита Федоров #17,Удержание,Роман М.,223,33,561242.96,20,9,11,6,45,78.1,0.699,2516.7845739910313,0.45,0.5454545454545454
2025-02-17,CC018,Артем Белов #18,Продажи карт,Елена П.,235,34,546903.6,15,6,9,4,31,80.2,0.685,2327.2493617021278,0.4,0.4444444444444444
2025-02-17,CC019,Кристина Орлова #19,МСП,Анастасия К.,228,35,512949.45,19,8,11,6,36,77.7,0.696,2249.7782894736843,0.42105263157894735,0.5454545454545454
2025-02-17,CC020,Денис Макаров #20,Ипотека,Денис С.,243,37,721723.22,28,9,19,9,31,82.3,0.687,2970.054403292181,0.32142857142857145,0.47368421052631576
2025-02-17,CC021,Ирина Волкова #21,Удержание,Роман М.,236,29,410900.68,23,9,14,8,38,73.5,0.708,1741.1045762711865,0.391304347826087,0.5714285714285714
2025-02-17,CC022,Максим Соколов #22,Продажи карт,Елена П.,220,36,624015.24,16,7,9,5,39,80.8,0.689,2836.432909090909,0.4375,0.5555555555555556
2025-02-17,CC023,Алина Петрова #23,МСП,Анастасия К.,200,31,564310.74,22,7,15,8,45,80.2,0.703,2821.5537,0.3181818181818182,0.5333333333333333
2025-02-17,CC024,Владислав Морозов #24,Ипотека,Денис С.,206,28,527729.07,27,10,17,9,40,81.9,0.671,2561.791601941747,0.37037037037037035,0.5294117647058824
2025-02-17,CC025,София Кузнецова #25,Удержание,Роман М.,232,31,625303.97,19,7,12,6,41,77.7,0.709,2695.2757327586205,0.3684210526315789,0.5
2025-02-17,CC026,Юлия Иванова #26,Продажи карт,Елена П.,229,30,696745.8,19,5,14,7,27,74.6,0.671,3042.5580786026203,0.2631578947368421,0.5
2025-02-17,CC027,Никита Федоров #27,МСП,Анастасия К.,236,38,808121.94,19,8,11,5,32,78.5,0.705,3424.245508474576,0.42105263157894735,0.45454545454545453
2025-02-17,CC028,Артем Белов #28,Ипотека,Денис С.,205,32,553572.29,16,6,10,6,36,79.8,0.737,2700.3526341463416,0.375,0.6
2025-02-17,CC029,Кристина Орлова #29,Удержание,Роман М.,225,34,690408.29,25,8,17,9,42,78.8,0.661,3068.481288888889,0.32,0.5294117647058824
2025-02-17,CC030,Денис Макаров #30,Продажи карт,Елена П.,238,37,546132.34,18,7,11,6,38,71.5,0.666,2294.6736974789915,0.3888888888888889,0.5454545454545454
2025-02-17,CC031,Ирина Волкова #31,МСП,Анастасия К.,275,39,797240.7,25,9,16,11,43,78.9,0.732,2899.0570909090907,0.36,0.6875
2025-02-17,CC032,Максим Соколов #32,Ипотека,Денис С.,239,35,591990.91,17,7,10,6,41,82.3,0.747,2476.9494142259414,0.4117647058823529,0.6
2025-02-17,CC033,Алина Петрова #33,Удержание,Роман М.,186,26,460923.25,20,8,12,7,41,77.6,0.685,2478.081989247312,0.4,0.5833333333333334
2025-02-17,CC034,Владислав Морозов #34,Продажи карт,Елена П.,239,37,556281.98,26,10,16,9,42,74.6,0.639,2327.5396652719664,0.38461538461538464,0.5625
2025-02-17,CC035,София Кузнецова #35,МСП,Анастасия К.,215,29,377429.8,22,7,15,10,39,80.0,0.744,1755.487441860465,0.3181818181818182,0.6666666666666666
2025-02-17,CC036,Юлия Иванова #36,Ипотека,Денис С.,235,33,525888.26,24,10,14,7,37,83.7,0.709,2237.8223829787235,0.4166666666666667,0.5
2025-02-17,CC037,Никита Федоров #37,Удержание,Роман М.,221,34,657594.77,26,11,15,9,39,78.1,0.681,2975.5419457013577,0.4230769230769231,0.6
2025-02-17,CC038,Артем Белов #38,Продажи карт,Елена П.,239,32,672360.6,26,10,16,8,31,81.9,0.667,2813.2242677824265,0.38461538461538464,0.5
2025-02-17,CC039,Кристина Орлова #39,МСП,Анастасия К.,231,36,573495.48,24,9,15,8,41,76.2,0.694,2482.6644155844156,0.375,0.5333333333333333
2025-02-17,CC040,Денис Макаров #40,Ипотека,Денис С.,216,28,399520.18,21,8,13,8,33,76.9,0.71,1849.6304629629628,0.38095238095238093,0.6153846153846154
2025-02-17,CC041,Ирина Волкова #41,Удержание,Роман М.,255,33,690235.82,22,10,12,6,31,76.1,0.668,2706.8071372549016,0.45454545454545453,0.5
2025-02-17,CC042,Максим Соколов #42,Продажи карт,Елена П.,200,28,359074.64,23,10,13,8,41,83.4,0.707,1795.3732,0.43478260869565216,0.6153846153846154
2025-02-17,CC043,Алина Петрова #43,МСП,Анастасия К.,221,34,698823.76,24,11,13,8,43,77.9,0.702,3162.0984615384614,0.4583333333333333,0.6153846153846154
2025-02-17,CC044,Владислав Морозов #44,Ипотека,Денис С.,236,39,761809.28,18,7,11,7,42,79.2,0.674,3228.0054237288136,0.3888888888888889,0.6363636363636364
2025-02-17,CC045,София Кузнецова #45,Удержание,Роман М.,235,31,476008.21,25,12,13,7,32,77.8,0.662,2025.56685106383,0.48,0.5384615384615384
2025-02-17,CC046,Юлия Иванова #46,Продажи карт,Елена П.,231,34,604962.78,13,5,8,4,41,78.1,0.664,2618.8864935064935,0.38461538461538464,0.5
2025-02-17,CC047,Никита Федоров #47,МСП,Анастасия К.,222,32,761416.06,21,8,13,7,28,73.2,0.671,3429.8020720720724,0.38095238095238093,0.5384615384615384
2025-02-17,CC048,Артем Белов #48,Ипотека,Денис С.,231,33,513297.61,15,7,8,5,30,84.3,0.725,2222.067575757576,0.4666666666666667,0.625
2025-02-24,CC001,Ирина Волкова #1,Удержание,Роман М.,228,32,643863.71,25,10,15,8,28,79.2,0.747,2823.963640350877,0.4,0.5333333333333333
2025-02-24,CC002,Максим Соколов #2,Продажи карт,Елена П.,199,27,441709.88,20,8,12,7,36,83.3,0.738,2219.6476381909547,0.4,0.5833333333333334
2025-02-24,CC003,Алина Петрова #3,МСП,Анастасия К.,249,33,590958.52,24,9,15,7,41,75.4,0.693,2373.327389558233,0.375,0.4666666666666667
2025-02-24,CC004,Владислав Морозов #4,Ипотека,Денис С.,211,30,549500.58,21,8,13,8,44,79.5,0.728,2604.2681516587677,0.38095238095238093,0.6153846153846154
2025-02-24,CC005,София Кузнецова #5,Удержание,Роман М.,229,32,516451.43,21,9,12,7,41,83.0,0.642,2255.2464192139737,0.42857142857142855,0.5833333333333334
2025-02-24,CC006,Юлия Иванова #6,Продажи карт,Елена П.,232,34,494286.24,24,9,15,9,30,72.7,0.681,2130.5441379310346,0.375,0.6
2025-02-24,CC007,Никита Федоров #7,МСП,Анастасия К.,233,36,690341.4,21,8,13,8,33,75.6,0.701,2962.838626609442,0.38095238095238093,0.6153846153846154
2025-02-24,CC008,Артем Белов #8,Ипотека,Денис С.,274,41,836714.58,18,7,11,7,35,77.2,0.679,3053.702846715328,0.3888888888888889,0.6363636363636364
2025-02-24,CC009,Кристина Орлова #9,Удержание,Роман М.,214,31,541373.86,15,6,9,5,42,76.1,0.695,2529.784392523364,0.4,0.5555555555555556
2025-02-24,CC010,Денис Макаров #10,Продажи карт,Елена П.,186,27,434924.85,24,9,15,9,40,78.4,0.721,2338.30564516129,0.375,0.6
2025-02-24,CC011,Ирина Волкова #11,МСП,Анастасия К.,210,30,560175.27,19,7,12,6,37,84.6,0.705,2667.5012857142856,0.3684210526315789,0.5
2025-02-24,CC012,Максим Соколов #12,Ипотека,Денис С.,170,26,386645.91,17,7,10,7,41,78.6,0.717,2274.3877058823527,0.4117647058823529,0.7
2025-02-24,CC013,Алина Петрова #13,Удержание,Роман М.,230,34,471824.25,18,7,11,6,33,85.5,0.75,2051.409782608696,0.3888888888888889,0.5454545454545454
2025-02-24,CC014,Владислав Морозов #14,Продажи карт,Елена П.,255,33,564476.22,24,8,16,9,39,75.4,0.677,2213.6322352941174,0.3333333333333333,0.5625
2025-02-24,CC015,София Кузнецова #15,МСП,Анастасия К.,220,31,620632.67,17,7,10,5,35,80.9,0.712,2821.0575909090912,0.4117647058823529,0.5
2025-02-24,CC016,Юлия Иванова #16,Ипотека,Денис С.,213,30,546356.22,21,9,12,7,40,80.7,0.706,2565.052676056338,0.42857142857142855,0.5833333333333334
2025-02-24,CC017,Никита Федоров #17,Удержание,Роман М.,189,29,589322.76,26,11,15,9,37,82.2,0.736,3118.109841269841,0.4230769230769231,0.6
2025-02-24,CC018,Артем Белов #18,Продажи карт,Елена П.,241,34,656450.02,26,11,15,10,45,84.7,0.758,2723.8590041493776,0.4230769230769231,0.6666666666666666
2025-02-24,CC019,Кристина Орлова #19,МСП,Анастасия К.,251,35,576790.21,19,8,11,6,40,85.8,0.721,2297.968964143426,0.42105263157894735,0.5454545454545454
2025-02-24,CC020,Денис Макаров #20,Ипотека,Денис С.,261,38,683626.46,34,14,20,11,48,74.8,0.694,2619.25846743295,0.4117647058823529,0.55
